Filename, Scale, ShiftX, ShiftY, ProcessingTime(s)
IMG_20230102_124857.jpg, 0.26x, 59.6px, 68.9px, 0.48s
IMG_20230103_221455.jpg, 0.23x, 79.5px, 117.4px, 0.36s
IMG_20230104_133401.jpg, 0.25x, 51.9px, 60.2px, 0.37s
IMG_20230105_110951.jpg, 0.29x, 54.2px, -4.3px, 0.37s
IMG_20230106_144837.jpg, 0.30x, 35.6px, -1.4px, 0.37s
IMG_20230107_153313.jpg, 0.28x, 49.3px, 18.4px, 0.40s
IMG_20230108_122857.jpg, 0.30x, 18.4px, 35.6px, 0.34s
IMG_20230109_113101.jpg, 0.24x, 82.9px, 41.5px, 0.34s
IMG_20230110_112629.jpg, 0.30x, 24.1px, 22.0px, 0.36s
IMG_20230111_113025.jpg, 0.25x, 75.0px, 63.4px, 0.34s
IMG_20230112_144013.jpg, 0.28x, 44.9px, 35.0px, 0.35s
IMG_20230113_145904.jpg, 0.27x, 58.4px, 21.1px, 0.34s
IMG_20230114_130534.jpg, 0.26x, 63.5px, 24.7px, 0.35s
IMG_20230115_121245.jpg, 0.27x, 59.3px, 23.3px, 0.34s
IMG_20230116_112213.jpg, 0.27x, 79.9px, 42.3px, 0.33s
IMG_20230119_143311.jpg, 0.26x, 63.5px, 59.2px, 0.33s
IMG_20230120_133707.jpg, 0.26x, 64.1px, 50.6px, 0.31s
IMG_20230121_123035.jpg, 0.25x, 91.7px, 39.7px, 0.38s
IMG_20230122_154808.jpg, 0.29x, 33.5px, 25.0px, 0.35s
IMG_20230123_144919.jpg, 0.25x, 74.0px, 40.3px, 0.60s
IMG_20230124_100108.jpg, 0.26x, 73.2px, 31.5px, 0.48s
IMG_20230125_160023.jpg, 0.25x, 71.6px, 42.8px, 0.34s
IMG_20230126_132306.jpg, 0.25x, 92.7px, 27.1px, 0.32s
IMG_20230127_163238.jpg, 0.25x, 97.1px, 32.4px, 0.36s
IMG_20230128_132715.jpg, 0.26x, 68.2px, 48.8px, 0.33s
IMG_20230129_133828.jpg, 0.25x, 84.7px, 34.0px, 0.33s
IMG_20230131_125553.jpg, 0.27x, 80.6px, 27.5px, 0.34s
IMG_20230201_160151.jpg, 0.26x, 78.1px, 5.1px, 0.35s
IMG_20230202_094106.jpg, 0.26x, 93.2px, -8.1px, 0.34s
IMG_20230203_132415.jpg, 0.25x, 96.9px, 29.8px, 0.33s
IMG_20230204_155846.jpg, 0.28x, 85.5px, -3.2px, 0.35s
IMG_20230205_143850.jpg, 0.24x, 85.9px, 39.9px, 0.34s
IMG_20230206_124345.jpg, 0.25x, 95.1px, 18.0px, 0.33s
IMG_20230207_145318.jpg, 0.26x, 68.6px, 31.3px, 0.34s
IMG_20230208_125527.jpg, 0.26x, 66.6px, 16.5px, 0.32s
IMG_20230210_171631.jpg, 0.27x, 67.8px, 29.7px, 0.30s
IMG_20230211_124434.jpg, 0.26x, 66.6px, 37.2px, 0.32s
IMG_20230212_130808.jpg, 0.25x, 56.7px, 44.1px, 0.34s
IMG_20230213_131223.jpg, 0.28x, 58.4px, 28.8px, 0.31s
IMG_20230214_134853.jpg, 0.27x, 77.1px, 28.8px, 0.30s
IMG_20230215_174316.jpg, 0.26x, 93.3px, 25.6px, 0.31s
IMG_20230216_122301.jpg, 0.25x, 90.3px, 32.1px, 0.30s
IMG_20230217_132427.jpg, 0.26x, 77.3px, 21.5px, 0.34s
IMG_20230218_163432.jpg, 0.24x, 84.7px, 69.2px, 0.38s
IMG_20230219_130933.jpg, 0.25x, 92.8px, 49.9px, 0.29s
IMG_20230220_130026.jpg, 0.24x, 98.4px, 51.6px, 0.31s
IMG_20230221_110901.jpg, 0.26x, 76.0px, 32.1px, 0.32s
IMG_20230222_130931.jpg, 0.24x, 86.0px, 56.4px, 0.32s
IMG_20230223_125550.jpg, 0.26x, 72.7px, 28.0px, 0.30s
IMG_20230224_131541.jpg, 0.27x, 62.3px, 21.6px, 0.30s
IMG_20230225_131954.jpg, 0.26x, 87.0px, 38.4px, 0.33s
IMG_20230226_130406.jpg, 0.26x, 62.4px, 37.5px, 0.31s
IMG_20230227_172338.jpg, 0.26x, 91.3px, 27.2px, 0.31s
IMG_20230228_132400.jpg, 0.25x, 89.9px, 43.5px, 0.32s
IMG_20230301_102401.jpg, 0.25x, 83.9px, 45.1px, 0.29s
IMG_20230302_122900.jpg, 0.25x, 64.8px, 60.0px, 0.32s
IMG_20230303_132207.jpg, 0.26x, 75.1px, 36.0px, 0.31s
IMG_20230304_132027.jpg, 0.26x, 61.1px, 31.4px, 0.33s
IMG_20230305_131645.jpg, 0.27x, 44.6px, 23.4px, 0.31s
IMG_20230306_132758.jpg, 0.24x, 94.0px, 53.8px, 0.31s
IMG_20230307_162213.jpg, 0.23x, 92.1px, 70.5px, 0.31s
IMG_20230308_130636.jpg, 0.23x, 103.8px, 67.0px, 0.32s
IMG_20230309_130622.jpg, 0.24x, 108.6px, 48.1px, 0.31s
IMG_20230310_132932.jpg, 0.25x, 98.1px, 32.0px, 0.31s
IMG_20230311_122659.jpg, 0.25x, 73.1px, 23.9px, 0.32s
IMG_20230312_123711.jpg, 0.24x, 98.8px, 54.8px, 0.31s
IMG_20230313_125524.jpg, 0.26x, 66.2px, 35.7px, 0.35s
IMG_20230314_123114.jpg, 0.25x, 67.3px, 24.2px, 0.33s
IMG_20230315_130558.jpg, 0.26x, 81.7px, 37.1px, 0.32s
IMG_20230316_121244.jpg, 0.25x, 81.3px, 34.9px, 0.33s
IMG_20230317_122731.jpg, 0.25x, 66.4px, 14.4px, 0.31s
IMG_20230318_122503.jpg, 0.24x, 90.2px, 50.9px, 0.32s
IMG_20230319_125422.jpg, 0.26x, 77.7px, 70.0px, 0.30s
IMG_20230320_122121.jpg, 0.27x, 54.8px, 25.5px, 0.31s
IMG_20230321_095006.jpg, 0.25x, 70.5px, 41.8px, 0.31s
IMG_20230322_124611.jpg, 0.24x, 86.0px, 53.6px, 0.35s
IMG_20230323_090602.jpg, 0.24x, 93.6px, 63.8px, 0.32s
IMG_20230324_130353.jpg, 0.25x, 71.5px, 33.0px, 0.32s
IMG_20230325_135821.jpg, 0.25x, 70.7px, 49.5px, 0.31s
IMG_20230326_101658.jpg, 0.23x, 77.6px, 54.9px, 0.30s
IMG_20230327_102149.jpg, 0.26x, 54.1px, 26.6px, 0.32s
IMG_20230328_123627.jpg, 0.26x, 75.1px, 38.7px, 0.32s
IMG_20230329_122200.jpg, 0.25x, 73.4px, 37.3px, 0.32s
IMG_20230330_092431.jpg, 0.25x, 65.0px, 50.4px, 0.33s
IMG_20230331_130259.jpg, 0.25x, 94.7px, 37.2px, 0.32s
IMG_20230401_125537.jpg, 0.25x, 70.3px, 53.6px, 0.32s
IMG_20230402_124731.jpg, 0.24x, 71.6px, 42.1px, 0.31s
IMG_20230403_133133.jpg, 0.23x, 75.5px, 45.9px, 0.31s
IMG_20230404_122028.jpg, 0.24x, 72.1px, 42.0px, 0.31s
IMG_20230405_131228.jpg, 0.24x, 80.1px, 49.2px, 0.32s
IMG_20230406_082242.jpg, 0.24x, 80.4px, 27.2px, 0.29s
IMG_20230407_124226.jpg, 0.23x, 87.6px, 76.1px, 0.33s
IMG_20230408_123250.jpg, 0.24x, 73.5px, 43.5px, 0.30s
IMG_20230409_130137.jpg, 0.24x, 78.4px, 51.3px, 0.34s
